Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Edge Chromium 115,,,2023-07-27 22:50:36,2023-07-27 22:50:40,3.647s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-07-27 22:50:40,2023-07-27 22:50:40,0.171s,PASSED
"navigateToUrl(""https://www.jobstoday.world/en/"")",Edge Chromium 115,,,2023-07-27 22:50:40,2023-07-27 22:51:04,23.847s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-07-27 22:51:04,2023-07-27 22:51:04,0.048s,PASSED
"click(findTestObject(""Object Repository/regCandElements/Page_Jobs Search, Search for a Job - Jobsto_ce5d69/button_Accept All Cookies""))",Edge Chromium 115,,,2023-07-27 22:51:04,2023-07-27 22:51:05,0.817s,PASSED
"click(findTestObject(""Object Repository/ResetPasswordElements/Page_Jobs Search, Search for a Job - Jobsto_ce5d69/a_Login""))",Edge Chromium 115,,,2023-07-27 22:51:05,2023-07-27 22:51:11,5.825s,PASSED
"scrollToPosition(693, 700)",Edge Chromium 115,,,2023-07-27 22:51:11,2023-07-27 22:51:11,0.040s,PASSED
"click(findTestObject(""Object Repository/ResetPasswordElements/Page_Login to Jobstoday.world - Create Resu_ef8a51/a_Forgotten password""))",Edge Chromium 115,,,2023-07-27 22:51:11,2023-07-27 22:51:14,3.371s,PASSED
"setText(findTestObject(""Object Repository/ResetPasswordElements/Page_/input_Email address_email""), ""ahmedashraaf09@gmail.com"")",Edge Chromium 115,,,2023-07-27 22:51:14,2023-07-27 22:51:16,2.508s,PASSED
"click(findTestObject(""Object Repository/ResetPasswordElements/Page_/button_Reset Now""))",Edge Chromium 115,,,2023-07-27 22:51:16,2023-07-27 22:51:20,3.221s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/ResetPasswordElements/Page_/h3_Link has been sent to your email address""))",Edge Chromium 115,,,2023-07-27 22:51:20,2023-07-27 22:51:21,1.386s,PASSED
closeBrowser(),Edge Chromium 115,,,2023-07-27 22:51:21,2023-07-27 22:51:22,0.953s,PASSED
,,,,,,,
Test Cases/General/searchTc,Edge Chromium 115,,,2023-07-27 22:51:22,2023-07-27 22:52:07,45.063s,PASSED
"openBrowser("""")",Edge Chromium 115,,,2023-07-27 22:51:22,2023-07-27 22:51:26,3.699s,PASSED
"navigateToUrl(""https://www.jobstoday.world/en/"")",Edge Chromium 115,,,2023-07-27 22:51:26,2023-07-27 22:51:33,6.761s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-07-27 22:51:33,2023-07-27 22:51:34,0.774s,PASSED
"click(findTestObject(""Object Repository/regCandElements/Page_Jobs Search, Search for a Job - Jobsto_ce5d69/button_Accept All Cookies""))",Edge Chromium 115,,,2023-07-27 22:51:34,2023-07-27 22:51:35,1.223s,PASSED
"setText(findTestObject(""Object Repository/searchElements/Page_Jobs Search, Search for a Job - Jobstoday.world/input_Find employees from around the world_keywords""), ""Manager"")",Edge Chromium 115,,,2023-07-27 22:51:35,2023-07-27 22:51:40,4.878s,PASSED
"click(findTestObject(""Object Repository/searchElements/Page_Jobs Search, Search for a Job - Jobstoday.world/button_Search""))",Edge Chromium 115,,,2023-07-27 22:51:40,2023-07-27 22:52:04,23.911s,PASSED
Thread.sleep(2000),Edge Chromium 115,,,2023-07-27 22:52:04,2023-07-27 22:52:06,2.005s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/searchElements/Page_Jobs Search, Search for a Job - Jobstoday.world/a_Manager, Data Integration, Research IT Data Engineering""))",Edge Chromium 115,,,2023-07-27 22:52:06,2023-07-27 22:52:06,0.450s,PASSED
closeBrowser(),Edge Chromium 115,,,2023-07-27 22:52:06,2023-07-27 22:52:07,0.917s,PASSED
